"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"M2","2011-06-28 03:01:01.000","145.442903","-16.008619","FALSE"
"M2","2011-06-28 03:31:02.000","145.442783","-16.008675","FALSE"
"M2","2011-06-28 05:01:02.000","145.441059","-16.005639","FALSE"
"M2","2011-06-28 07:01:01.000","145.437994","-16.001169","FALSE"
"M2","2011-06-28 20:31:01.000","145.435478","-16.001618","FALSE"
"M2","2011-06-28 21:00:41.000","145.434922","-16.00128","FALSE"
"M2","2011-06-28 21:30:38.000","145.433523","-15.998971","FALSE"
"M2","2011-06-28 23:30:47.000","145.434471","-15.990827","FALSE"
"M2","2011-06-29 00:01:00.000","145.432639","-15.989448","FALSE"
"M2","2011-06-29 02:31:01.000","145.428234","-15.990752","FALSE"
"M2","2011-06-29 03:01:01.000","145.428052","-15.990244","FALSE"
"M2","2011-06-29 04:00:46.000","145.424793","-15.985722","FALSE"
"M2","2011-06-29 05:30:50.000","145.424697","-15.976814","FALSE"
"M2","2011-06-29 06:01:02.000","145.424701","-15.975703","FALSE"
"M2","2011-06-29 21:00:39.000","145.424596","-15.975831","FALSE"
"M2","2011-06-29 22:01:01.000","145.425852","-15.974711","FALSE"
"M2","2011-06-29 22:30:09.000","145.427493","-15.973722","FALSE"
"M2","2011-06-29 23:00:08.000","145.427462","-15.973752","FALSE"
"M2","2011-06-29 23:30:57.000","145.427073","-15.97387","FALSE"
"M2","2011-06-30 01:31:01.000","145.423109","-15.97127","FALSE"
"M2","2011-06-30 02:30:56.000","145.420784","-15.969762","FALSE"
"M2","2011-06-30 03:00:53.000","145.419262","-15.96888","FALSE"
"M2","2011-06-30 03:30:23.000","145.419877","-15.968082","FALSE"
"M2","2011-06-30 04:00:55.000","145.417861","-15.968626","FALSE"
"M2","2011-06-30 04:31:01.000","145.414115","-15.964766","FALSE"
"M2","2011-06-30 05:00:27.000","145.410917","-15.962138","FALSE"
"M2","2011-06-30 06:31:01.000","145.410302","-15.951853","FALSE"
"M2","2011-06-30 07:30:54.000","145.408158","-15.948611","FALSE"
"M2","2011-06-30 08:00:17.000","145.405979","-15.945484","FALSE"
"M2","2011-06-30 20:30:35.000","145.407176","-15.946117","FALSE"
"M2","2011-06-30 21:00:44.000","145.407153","-15.945839","FALSE"
"M2","2011-07-01 01:01:01.000","145.400616","-15.940761","FALSE"
"M2","2011-07-01 03:00:14.000","145.394843","-15.940911","FALSE"
